ts,priceDiff,margin,sell_exchange_name,buy_exchange_name,sell_pair,buy_pair,sell_price,buy_price,sell_amount,buy_amount,sell_margin,buy_margin,suggested_buy_amount,suggested_sell_amount,gross_margin,trade_decision
2020-02-19 03:34:46.880547,0.0005882899999999913,0.0019979845926040548,binance,bittrex,XRP-USDT,XRP-USDT,0.29503,0.29444171,2265.0,1366.7319730000002,-698.4890230000001,-2376.7743362514775,668.2429500000001,2265.0,1.3351391182162615,False
2020-02-19 03:34:54.367949,0.0009580000000000144,0.0032536119167782263,binance,bittrex,XRP-USDT,XRP-USDT,0.2954,0.294442,2265.0,1366.7319730000002,-697.6509730000001,-2376.769764503706,669.081,2265.0,2.176929914889911,False
2020-02-19 03:35:04.698537,0.0006379499999999982,0.0021666402607915486,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.29444205,2265.0,1366.7319730000002,-698.3757730000001,-2376.768976272241,668.3562000000001,2265.0,1.4480874514696325,False
2020-02-19 03:35:14.939061,0.0010078000000000031,0.003422743071475499,binance,bittrex,XRP-USDT,XRP-USDT,0.29545,0.2944422,2265.0,1366.7319730000002,-697.5377230000001,-2376.7666115794555,669.19425,2265.0,2.290479982658667,False
2020-02-19 03:35:25.966062,0.000697580000000031,0.002369155911706034,binance,bittrex,XRP-USDT,XRP-USDT,0.29514,0.29444242,2265.0,1366.7319730000002,-698.2398730000001,-2376.763143367726,668.4921,2265.0,1.5837620106437953,False
2020-02-19 03:35:33.463313,0.0010075700000000132,0.0034219592604232117,binance,bittrex,XRP-USDT,XRP-USDT,0.29545,0.29444243,2265.0,1366.7319730000002,-697.5377230000001,-2376.7629857218617,669.19425,2265.0,2.2899554608094377,False
2020-02-19 03:35:44.930685,0.0006572599999999928,0.002232216695171336,binance,bittrex,XRP-USDT,XRP-USDT,0.2951,0.29444274,2265.0,1366.7319730000002,-698.3304730000002,-2376.7580987053725,668.4014999999999,2265.0,1.4920169873774967,False
2020-02-19 03:35:52.210961,0.0006371900000000097,0.0021640535219726023,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.29444281,2265.0,1366.7319730000002,-698.3757730000001,-2376.7569951869436,668.3562000000001,2265.0,1.446358588542239,False
2020-02-19 03:36:04.963135,0.0006368999999999958,0.0021630664804167454,binance,bittrex,XRP-USDT,XRP-USDT,0.29508,0.2944431,2265.0,1366.7319730000002,-698.3757730000001,-2376.75242347333,668.3562000000001,2265.0,1.4456988931987098,False
2020-02-19 03:36:15.050717,0.0006966600000000156,0.002366023969161658,binance,bittrex,XRP-USDT,XRP-USDT,0.29514,0.29444334,2265.0,1366.7319730000002,-698.2398730000001,-2376.748639993012,668.4921,2265.0,1.5816683317952993,False
